Player Name,Team Initials,Appearances,Goals,Cards,Tournaments,Attack_Contribution,Goals_Score,Appearances_Score,Attack_Score,Experience_Score,Discipline_Score,Cluster
?URI?I?,SRB,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
A BAUTISTA,MEX,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
A COLE,ENG,14,0,1,3,0.0,0.0,48.14814814814815,0.0,50.0,87.5,3.0
A GUARDADO,MEX,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
A MEDINA,MEX,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
A. AL-DOSSARY,KSA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
A. AL-GANOUBI,KSA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
A. ALMEIDA,POR,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
A. AYEW,GHA,8,2,2,2,0.25,11.76470588235294,25.925925925925924,6.25,25.0,75.0,1.0
A. BAK,POL,3,0,1,1,0.0,0.0,7.4074074074074066,0.0,0.0,87.5,2.0
A. BALANTA,COL,5,0,0,1,0.0,0.0,14.814814814814811,0.0,0.0,100.0,0.0
A. CHOL HYOK,PRK,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
A. CRUZ,BRA,7,0,0,1,0.0,0.0,22.22222222222222,0.0,0.0,100.0,0.0
A. DAEI,IRN,3,0,1,1,0.0,0.0,7.4074074074074066,0.0,0.0,87.5,2.0
A. DELGADO,ECU,4,2,0,1,0.5,11.76470588235294,11.11111111111111,12.5,0.0,100.0,0.0
A. DIARRA,FRA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
A. FERNANDEZ,ARG,7,0,0,1,0.0,0.0,22.22222222222222,0.0,0.0,100.0,0.0
A. FERNANDEZ,ARG,7,0,0,1,0.0,0.0,22.22222222222222,0.0,0.0,100.0,0.0
A. FERNANDEZ,URU,7,0,0,1,0.0,0.0,22.22222222222222,0.0,0.0,100.0,0.0
A. FERNANDEZ,URU,7,0,0,1,0.0,0.0,22.22222222222222,0.0,0.0,100.0,0.0
A. GARCIA ASPE,MEX,4,0,1,1,0.0,0.0,11.11111111111111,0.0,0.0,87.5,2.0
A. GONZALEZ,URU,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
A. GUARDADO,MEX,8,1,2,2,0.125,5.88235294117647,25.925925925925924,3.125,25.0,75.0,1.0
A. GYAN,GHA,8,3,0,2,0.375,17.647058823529413,25.925925925925924,9.375,25.0,100.0,1.0
A. HAGHIGHI,IRN,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
A. HERNANDEZ,URU,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
A. INIESTA,ESP,7,0,0,2,0.0,0.0,22.22222222222222,0.0,25.0,100.0,1.0
A. JOHN,TRI,3,0,4,1,0.0,0.0,7.4074074074074066,0.0,0.0,50.0,2.0
A. KELLY,IRL,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
A. LATIFI,IRN,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
A. LOPEZ,ESP,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
A. M. NDIAYE,SEN,5,0,0,1,0.0,0.0,14.814814814814811,0.0,0.0,100.0,0.0
A. MADANI,KSA,7,0,1,2,0.0,0.0,22.22222222222222,0.0,25.0,87.5,1.0
A. MEJIA,COL,5,0,0,1,0.0,0.0,14.814814814814811,0.0,0.0,100.0,0.0
A. MOKOENA,RSA,3,0,2,1,0.0,0.0,7.4074074074074066,0.0,0.0,75.0,2.0
A. NAELSON,MEX,4,1,1,1,0.25,5.88235294117647,11.11111111111111,6.25,0.0,87.5,2.0
A. PEREIRA,URU,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
A. PULIDO,MEX,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
A. R. ABEDZADEH,IRN,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
A. R. MANSOURIAN,IRN,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
A. RODRIGUEZ,MEX,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
